0
-1,343081
0,3514752
-1,510502
-0,3366618
0,9105923
0,3693195
-1,066106
1,417102
-0,09858253
1,274344
0,9608117
-0,4968707
1,340267
-0,3517251
0,9333941
-1,330649
-0,4398676
-1,118135
1,500946
-0,7534969
-0,04502553
1,229344
-0,2011983
-0,2506987
0,3980716
-0,5247766
0,2618873
-1,217062
1,301332
-0,3247396
0,1471029
1,108588
-0,7869862
1,052031
0,5993552
1,437145
-0,3676881
1,489737
1,024356
-1,026436
0,449493
0,5242034
1,478707
-0,05173402
-0,3935546
0,1320886
-0,7745689
0,3880163
-1,532915
1,319701
-0,9031249
-0,1359125
1,050121
-1,053476
0,07693032
-1,348687
1,452021
-0,8313064
0,9062794
-0,9050778
-0,09111591
1,29343
0,2015266
1,303047
1,40099
-0,4762211
0,5795715
-1,485497
-0,5758824
0,06156546
0,5461236
0,8542922
-1,316017
-0,4788197
-0,7273721
0,1014794
0,9595639
0,4744287
-1,346789
0,09439857
-0,8017151
-1,531534
0,04714644
-1,455772
-1,513047
0,8432906
-0,919011
0,1526991
0,2158678
1,289485
-0,6507636
0,358023
-1,333965
1,547893
-1,413346
-0,323819
1,026854
-1,292232
0,3176071
-0,3492009
0,9183905
-1,298879
0,1007873
-0,1386661
-1,477455
-0,1516127
0,4724085
-1,355563
-0,5082764
-1,490878
0,9068066
-1,144362
0,1006998
1,216026
-0,2449716
-0,160895
-1,174865
1,365381
-0,7816588
0,6973957
0,9463174
-1,321594
0,8126315
-1,254428
0,2537254
1,533908
0,9341777
0
-0,9341777
-1,533908
-0,2537254
1,254428
-0,8126315
1,321594
-0,9463174
-0,6973957
0,7816588
-1,365381
1,174865
0,160895
0,2449716
-1,216026
-0,1006998
1,144362
-0,9068066
1,490878
0,5082764
1,355563
-0,4724085
0,1516127
1,477455
0,1386661
-0,1007873
1,298879
-0,9183905
0,3492009
-0,3176071
1,292232
-1,026854
0,323819
1,413346
-1,547893
1,333965
-0,358023
0,6507636
-1,289485
-0,2158678
-0,1526991
0,919011
-0,8432906
1,513047
1,455772
-0,04714644
1,531534
0,8017151
-0,09439857
1,346789
-0,4744287
-0,9595639
-0,1014794
0,7273721
0,4788197
1,316017
-0,8542922
-0,5461236
-0,06156546
0,5758824
1,485497
-0,5795715
0,4762211
-1,40099
-1,303047
-0,2015266
-1,29343
0,09111591
0,9050778
-0,9062794
0,8313064
-1,452021
1,348687
-0,07693032
1,053476
-1,050121
0,1359125
0,9031249
-1,319701
1,532915
-0,3880163
0,7745689
-0,1320886
0,3935546
0,05173402
-1,478707
-0,5242034
-0,449493
1,026436
-1,024356
-1,489737
0,3676881
-1,437145
-0,5993552
-1,052031
0,7869862
-1,108588
-0,1471029
0,3247396
-1,301332
1,217062
-0,2618873
0,5247766
-0,3980716
0,2506987
0,2011983
-1,229344
0,04502553
0,7534969
-1,500946
1,118135
0,4398676
1,330649
-0,9333941
0,3517251
-1,340267
0,4968707
-0,9608117
-1,274344
0,09858253
-1,417102
1,066106
-0,3693195
-0,9105923
0,3366618
1,510502
-0,3514752
1,343081
0,3742712
-1,539456
-0,5835012
-0,3946699
1,208605
0,0005622773
1,394873
-0,05145618
0,451785
0,9983674
-1,041418
0,7465105
1,131863
-0,3852998
1,100141
-0,04110193
0,4789195
-1,537043
1,260983
0,1550068
-0,777792
0,6323949
1,54798
0,3905075
-1,181086
-0,4987244
0,1566772
1,035726
-0,6918817
-1,416216
-1,027833
0,4307163
1,494583
-1,110099
0,4631764
0,3895226
-0,6569335
0,7913533
-1,273521
-0,1130727
1,077361
0,5805671
-0,8132437
1,107673
0,4390442
1,260754
1,437104
-0,03156279
1,135533
-0,7733386
1,081753
-1,308932
0,6620061
-1,083699
0,08818218
-0,4654466
-0,6715498
0,280924
-0,2230292
1,486598
-0,930919
0,336285
1,008131
-0,8337332
-0,8684853
0,7631376
-0,01658052
1,334988
1,520531
-0,7476561
0,1944744
1,365086
-0,351304
1,068531
-0,6603945
-1,355496
-0,526277
1,071393
-1,426641
-0,7287735
-0,9725578
1,05798
0,7387816
-0,3809011
-1,536342
0,1899873
0,07040687
-1,479728
0,8401679
1,198881
0,5611437
0,1991734
1,315816
-0,6165015
0,3655416
-0,4863398
1,023859
